BRANDS SOLD,PRODUCT TYPES/ CATEGORIES,RETAILER TYPE,RETAILER_ID,RETAILER NAME,LOCATION NAME,ADDRESS,LAND MARK,CITY,DISTRICT,STATE/PROVINCE,ZIP/POSTAL CODE,COUNTRY,CONTACT PHONE,CONTACT PERSON,STORE SIZE,GEO COORDINATES,TIER LEVEL OF GOODS SOLD,URL,NUMBER OF STORES/BRANCHIES IN THE CHAIN,HQ ADDRESS,HOLDING COMPANY NAME,HOLDING COMPANY ADDRESS,HOLDINGS CONTACT,URL (HOLDING COMAPANY),MANUFACTURER / FACTORY,MANUFACTURER ADDRESS,MANUFACTURER CONTACT
,TV,Consumer Electronics,,PAI INTERNATIONAL,Pai Mobiles -  Bellary,"President Bellary Dist Ambedkar Association Bellary,

Double Road, Near Old Bus stand

Bellary District -  583101",,Bellary District,,,583101,India,,,,,,https://www.paiinternational.in/Stores,,,,,,,,,
,TV,Consumer Electronics,,PAI INTERNATIONAL,Pai Mobiles -  Hospet,"No. 4/516, Shop No.567

Opposite City Court, College Road,

Hospete, Bellary District -  583201",,Hospete, Bellary District,,583201,India,,,,,,https://www.paiinternational.in/Stores,,,,,,,,,
,TV,Consumer Electronics,,PAI INTERNATIONAL,Pai Mobiles -  Belgaum,"No.1742, Matchwell Building, Hutatma Chowk

Near Tata Show Room, Kirloskar Road,

Belgaum District -  590001",,Belgaum District,,,590001,India,,,,,,https://www.paiinternational.in/Stores,,,,,,,,,
,TV,Consumer Electronics,,PAI INTERNATIONAL,Attapur -  MBS,"Plot No.96, MCH NO. 4- 6- 69/1A,

Attapur, Rajendra Nagar, Hyderabad -  500048.",,Attapur, Rajendra Nagar,,500048.,India,,,,,,https://www.paiinternational.in/Stores,,,,,,,,,
,TV,Consumer Electronics,,PAI INTERNATIONAL,Attapur -  Samsung Plaza,"# 4- 6- 236, ATTAPUR RING ROAD,

PILLER NO 136 ATTAPUR,

HYDERBAD -  500048",,HYDERBAD,,,500048,India,,,,,,https://www.paiinternational.in/Stores,,,,,,,,,
,TV,Consumer Electronics,,PAI INTERNATIONAL,Boduppal -  MBS,"Plot no:- 19, Survey No:- 102,

Om Vihar Colony, Near Boduppal Depot,

Ghatkesar Mandal, R R District, Hyderabad -  50003",,Ghatkesar Mandal, R R District,,50003,India,,,,,,https://www.paiinternational.in/Stores,,,,,,,,,
,TV,Consumer Electronics,,PAI INTERNATIONAL,BN Reddy Nagar -  MBS,"Plot No.6 & 7, Chaitanya Nagar,

Teachers Colony, Sagar Road, B.N. Reddy Nagar

Hyderabad -  500079",,Hyderabad,,,500079,India,,,,,,https://www.paiinternational.in/Stores,,,,,,,,,
,TV,Consumer Electronics,,PAI INTERNATIONAL,Karmanghat -  MBS,"#8- 8- 393/7/GF, Greenpark Colony,

Opp Jeevan Hospital, Sagar Road,

Karmanghat, Hyderabad – 500035",,Karmanghat, Hyderabad –,,500035,India,,,,,,https://www.paiinternational.in/Stores,,,,,,,,,
,TV,Consumer Electronics,,PAI INTERNATIONAL,Nizampet -  MBS,"H No:3- 83/1/PC/107, Panchasheel Complex,

Survery 227, Nizampet Village, Quthubullapur

RR District, Hyderabad -  500072",,RR District, Hyderabad,,500072,India,,,,,,https://www.paiinternational.in/Stores,,,,,,,,,
,TV,Consumer Electronics,,PAI INTERNATIONAL,AS Rao Nagar -  MBS,"A9, PSR Laxmi Heights, Rukminipuri,

Opp to Ushodaya Super Market

AS Rao Nagar, Hyderabad -  500062",,AS Rao Nagar, Hyderabad,,500062,India,,,,,,https://www.paiinternational.in/Stores,,,,,,,,,
,TV,Consumer Electronics,,PAI INTERNATIONAL,Kukatpally -  MBS,"H No 12- 6- 2- 268/2 & 3,

SY NO 575, Kukatpally,

Hyderabad -  500072.",,Hyderabad,,,500072.,India,,,,,,https://www.paiinternational.in/Stores,,,,,,,,,
,TV,Consumer Electronics,,PAI INTERNATIONAL,Madinaguda -  MBS,"Plot No 81 & 82, SY NO 228 & 229/1,,

Block No 1, Madinaguda Village, Hyderabad - 500049.",,Block No 1, Madinaguda Village,,500049.,India,,,,,,https://www.paiinternational.in/Stores,,,,,,,,,
,TV,Consumer Electronics,,PAI INTERNATIONAL,Kompally -  MBS,"Survey No 91, 92 & 93, Green park Avenue,

Near HDFC Bank, Kompally Road,

Suchitra Circle,Jedimetla, Quthubullapur Mandal,

R R District, Secunderabad – 500055.",,R R District, Secunderabad –,,500055.,India,,,,,,https://www.paiinternational.in/Stores,,,,,,,,,
,TV,Consumer Electronics,,PAI INTERNATIONAL,Vanasthalipuram -  MBS,"PlotNo:- H1,H2,H7 & H8,Abhyudaya Nagar,

Vanasthalipuram,Hyderabad -  500074",,Vanasthalipuram,Hyderabad,,500074,India,,,,,,https://www.paiinternational.in/Stores,,,,,,,,,
,TV,Consumer Electronics,,PAI INTERNATIONAL,Nagaram -  MBS,"3- 42, Nagaram Village,

Keesara Mandal, Hyderabad -  500083,

AMBERPET MAIN ROAD 500013",,AMBERPET MAIN ROAD,,,500013,India,,,,,,https://www.paiinternational.in/Stores,,,,,,,,,
,TV,Consumer Electronics,,PAI INTERNATIONAL,Bhel -  MBS,"H.No 23- 54, 23- 56, 23- 57, Plot No: 7,

Survey No:202, Ashok Nagar,

Ramachandrapuram, Medak, Hyderabad -  502032.",,Ramachandrapuram, Medak,,502032.,India,,,,,,https://www.paiinternational.in/Stores,,,,,,,,,
,TV,Consumer Electronics,,PAI INTERNATIONAL,Tolichowki -  MBS,"8- 1- 351/A/20, Adam Colony,

Tolichowki, Hyderabad -  500008",,Tolichowki, Hyderabad,,500008,India,,,,,,https://www.paiinternational.in/Stores,,,,,,,,,
,TV,Consumer Electronics,,PAI INTERNATIONAL,Uppal -  MBS,"NO 1- 46/2, Plot No 5 & 6,

Dubba Narasimha Reddy Building, Venkateswara Colony,

Ring Road, Uppal, Hyderabad -  500039.",,Ring Road, Uppal,,500039.,India,,,,,,https://www.paiinternational.in/Stores,,,,,,,,,
,TV,Consumer Electronics,,PAI INTERNATIONAL,Dilsukhnagar -  MBS,"NO 13- 4- 27/A, 2D, Sri Shailajapushpa Chambers,

SY NO 29/1, PART 77/1, 78, Vikas Nagar Colony,

Mandal RR Dist, Hyderabad -  500060.",,Mandal RR Dist, Hyderabad,,500060.,India,,,,,,https://www.paiinternational.in/Stores,,,,,,,,,
,TV,Consumer Electronics,,PAI INTERNATIONAL,Chintal -  MBS,"NO H NO6 47 1HMT ROAD,

CHINTAL JEDIMETLA,,

HYDERABAD- 500054",,HYDERABAD,,,500054,India,,,,,,https://www.paiinternational.in/Stores,,,,,,,,,
,TV,Consumer Electronics,,PAI INTERNATIONAL,Ramanthapur -  MBS,"H No 2 2 58 To 60 Prashanthi Arcade,

Ramanthapur Main Road, HYDERABAD- 500030",,Ramanthapur Main Road, HYDERABAD,,500030,India,,,,,,https://www.paiinternational.in/Stores,,,,,,,,,
,TV,Consumer Electronics,,PAI INTERNATIONAL,Hyderguda-  MBS,"H.No. 3- 6- 289, Hyderguda,

Hyderabad, Telangana State -  500029.",,Hyderabad, Telangana State,,500029.,India,,,,,,https://www.paiinternational.in/Stores,,,,,,,,,
,TV,Consumer Electronics,,PAI INTERNATIONAL,Jubilee Hills- MBS,"Plot No : 703, Road No: 36,

Metro piller no- 27, Hyderabad -  500033.",,Metro piller no  27, Hyderabad,,500033.,India,,,,,,https://www.paiinternational.in/Stores,,,,,,,,,
,TV,Consumer Electronics,,PAI INTERNATIONAL,Kondapur- MBS,"PLOT NO 17 C AND 28C IN SURVEY NO 60

60 KONDAPUR VILLAGE SERILINGAMPALLY MANDAL,

HYDERABAD- 500084.",,HYDERABAD,,,500084.,India,,,,,,https://www.paiinternational.in/Stores,,,,,,,,,
,TV,Consumer Electronics,,PAI INTERNATIONAL,PANJAGUTTA- MBS,"PLOT NO:5&6 NAGARJUNA CO- OPERATIVE HOUSING SOCIETY LTD

PANJAGUTTA HYDERABAD -  500082",,PANJAGUTTA HYDERABAD,,,500082,India,,,,,,https://www.paiinternational.in/Stores,,,,,,,,,
,TV,Consumer Electronics,,PAI INTERNATIONAL,Malakpet- MBS,"HOUSE NO 16 2 70516 2 704 A 1

BESIDES D MART MALLORY MALAKPET ,

HYDERABAD-  500036",,HYDERABAD,,,500036,India,,,,,,https://www.paiinternational.in/Stores,,,,,,,,,
,TV,Consumer Electronics,,PAI INTERNATIONAL,Begumpet- MBS,"No.1- 8- 303/33,Roxana Sanai

Near Bowl O China, Situated at S.P.Road,

Begumpet, Secunderabad – 500003 Telangana State",,Begumpet, Secunderabad – 500003 Telangana,,State,India,,,,,,https://www.paiinternational.in/Stores,,,,,,,,,
,TV,Consumer Electronics,,PAI INTERNATIONAL,Trimulgherry- MBS,"Survey No 26 (GLR Survey No: 292),

Trimulgherry, Secunderabad Cantonment,

Secunderabad, Hyderabad -  500015.",,Secunderabad, Hyderabad,,500015.,India,,,,,,https://www.paiinternational.in/Stores,,,,,,,,,
