BRANDS SOLD,PRODUCT TYPES/ CATEGORIES,RETAILER TYPE,RETAILER_ID,RETAILER NAME,LOCATION NAME,ADDRESS,LAND MARK,CITY,DISTRICT,STATE/PROVINCE,ZIP/POSTAL CODE,COUNTRY,CONTACT PHONE,STORE SIZE,GEO COORDINATES,TIER LEVEL OF GOODS SOLD,URL,NUMBER OF STORES/BRANCHIES IN THE CHAIN,HQ ADDRESS,HOLDING COMPANY NAME,HOLDING COMPANY ADDRESS,HOLDINGS CONTACT,URL (HOLDING COMAPANY),MANUFACTURER / FACTORY,MANUFACTURER ADDRESS,MANUFACTURER CONTACT
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"8684 TTMC RAFFICMANAGEMENT 
TRANSITCENTRE VIJAYANAGAR",,BANGALORE,,,560040,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"8707 RELIANCEDIGITAL PID NO 125446 3 1  MARS ENCLAVE  STUATED AT
 DODDABOMMASANDRA MAIN ROAD  VIDYARANYAPURA SUB ZONE  BYATARANYANPURA BBMP ZONE",,BANGALORE,,,560097,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"8745 VASAVI ARCADE605 18TH MAIN ROADIDEAL 
HOMES SRI RAJARAJESHWARI NAGAR",,BANGALORE,,,560098,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"8792 SURVEY NO 90 4ARRROYALEMUNNEKOLALU 
OUTER RING ROAD MARATHAHALLI",,BANGALORE,,,560037,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"SITE NO 1 2 & 3SY NO 75B
 WINDSORHULIMAVU BANNERGHATTA ROAD",,BANGALORE,,,560076,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"RDRL NO 17 T HSRLAYOUT 
SEC 3 NR TOVISION EXPRESS",,BANGALORE,,,560102,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"MUNICIPAL NO 74PRESTIGE FEROZE 1STFLR 
SMAPANGI RAMASWAMY TEMPLE ROAD EARLIER CUNNINGHAM ROAD",,BANGALORE,,,560052,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"RDRL MANTRI SQUAREMALL 4469 F 26 TI 
311ST FLR SAMPIGE ROAD",,BANGALORE,,,560003,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"BADAMI HOUSE NO 917
9TH CROSS JP NAGAR2ND PHASE",,BANGALORE,,,560078,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"10 GF PHOENIX MARKETCITY PLOT NO 106 107
WHITEFILELD ROAD OPP MAHADEVPURA CMC"," 10 GF PHOENIX MARKETCITY PLOT NO 106 107
WHITEFILELD ROAD OPP MAHADEVPURA CMC",BANGALORE,,,560048,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"RDRL KAMANHALLIBANGALORE STORERELIANCEDIGITAL RETAIL LTD 4034TH C S
1ST BLOCK JALVAYU VIHAR HRBR LAYOUT KALYANNAGAR",,BANGALORE,,,560043,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"RDRL NO 6 GOPALANSIGNATURE TOWER
OLD MADRAS ROAD CV RAMAN NAGAR",,BANGALORE,,,560038,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"SHOP NO G 30 31 NO75EPIP AREA NEXT 
TOSATYA SAI HOSPITAL WHITEFIELD",,BANGALORE,,,560066,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
